,SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
241,G,P09,S22,145414,0,수분,촉촉,발림성,백탁,차단,8.15,6.5,3.64,2.9,2.15
242,G,P09,S22,145414,1,순하고 좋긴 한데 여름에는 손이 잘 안가더라구요ㅜㅜ 여름에는 매트하게 마무리되는 선크림을 자주 바르는데 이건 촉촉한 제품이라 마지막엔 살짝 번들거려용 그래도 여름 제외하고는 잘 쓰는 제품입니당,잘 펴발리고 마무리가 가벼움백탁도 없어서 남자분들도 쓰기 좋을듯 무엇보다 다음 화장에 안 밀려서 굳,물론 선크림을 사용한 후에는세안이 제일 중요합니다,내돈내산? 피부타입복합성  여드름화농성여드름 좁쌀  모공 크지 않음,선크림만 사용 평가트러블  발림성  지속력  묻어남  가격???  커버력 ?눈시림  향???????   총점 88점 재구매의사 있음트러블X  제품 자체가 순해서 그런지 트러블은 한번도 없었어요,,,,,
243,G,P08,S47,129652,0,효과,등드름,바디,트러블이,등에,4.41,3.48,3.37,2.85,2.67
244,G,P08,S47,129652,1,등드름에 별로 큰 효과는 없었지만 적당히 촉촉하면서도 LHA 성분이 들어있어 가볍고 순하게 각질 케어가 가능해서 좋았어요바디 로션 바르기 귀찮을 때 그냥 편하게 칙칙 뿌려주면 되니까 여름에 자주 썼습니다,겨울에 쓰기에는 조금 가벼운 느낌이지만 여름에 쓰기에는 산뜻하면서도 촉촉해서 괜찮았습니다,평소에 바디 미스트를 사용하면 약간 자극적이라고 해야하나 따끔거리는 기분이 느껴는데 이제품은 촉촉하면서 자극이 없어서 사용하기 괜찮앗어용,음이주정도 사용했는데 별다른 개선효과는 보이지 않아요ㅠㅠ 14정도 사용했는데 나아지지 않는거 보면 자랑은 맞지 않는것 같아용,어마어마하게 많이 등드름이 줄진 않았는데 그래도 써본 바디미스트 중에는 그나마 제일 효과가 좋아요,,,,,
245,G,P08,S47,111662,0,향이,좋아,냄새,향도,바디홀릭,6.36,4.8,3.2,2.17,2.13
246,G,P08,S47,111662,1,선물받아서써본제품인데향도은은하니좋고향지속력이나보습력도좋아서향수대신사용하고있어요,바디 미스트이긴 한데 보습력이나 촉촉함보다는 향 퍼퓸 기능에 중점을 둔 것 같은 제품이에요,저는 바디 미스트처럼 쓰기보다는 약간 섬유 향수 같은 느낌으로 썼던 것 같아요취향에 맞는 향만 있으면 가격도 저렴하고 한 번쯤 써보시는 것도 나쁘지 않을 것 같아요바디홀릭 바디미스트는 거의 다 써봤는데 이 바이올렛 포션은 크게 호불호가 안 갈릴 것 같은 향긋한 샴푸향이에요,엄청 유행탔었죠ㅎㅎ 향도 좋고 학생들 취향저격이었던 것 같아요,근데 향이 꽤 빨리 날아가는 느낌이었어요,,,,,
247,G,P08,S47,92156,0,향이,오래,냄새,지속력,좋아,9.86,3.08,2.96,2.53,2.46
248,G,P08,S47,92156,1,그리고 바디미스트이지만 머리카락에 뿌려주면 하루종일 냄새가 나거든요,머리 흔들릴때마다 냄새 나서 좋아요어느날은 아침에 뿌리고 밤에 잤는데 다음날 아침까지도 났어요,내가 썻던 바디미스트중 향기도 오래가구 수시로 뿌려도 역하지않고 첫향기 그대로지속되었던 제품이었어요,독한듯 안독한 그런 향지속력은 기대파기 어렵다 가성비은 좋으나 글쎄다솔직히 처음,쀼럈을 때 그향이 너무 좀 쎄고 독함이건 추운날 찬바람 부는날에 뿌려주면 조금 포근한 느낌을 들게해줌,,,,,
249,G,P08,S47,104161,0,향이,냄새,좋아,향은,은은,6.59,3.71,3.35,2.9,2.21
250,G,P08,S47,104161,1,정말 취향저격한 향ㅠ 친구들이 무슨 향수 쓰냐고 많이 물어볼 정도로 좋았어요달달한 꽃향이 너무 마음에 들어 샀는데 잔향이 더 마음에 들어요,처음에는 달달한 향이 더 강하고 시간이 지날수록 꽃향이 더 진하게 납니다,그만큼 지속력은 좋지 못한다는 점 ㅠ,진짜 이거 냄새 개좋구요,남자애들이 냄새 좋다고 함 되게 안고 싶은 냄새 귀여운느낌도 듬  따따봉 그냥 아주 좋구만 몇통 쓰고있는중 근데 바디미스트라 지속력은 오래안가고 잔향은 좀 오래가는듯,,,,,
251,G,P08,S47,119956,0,향이,향은,향수,좋아,바디,10.05,4.05,3.5,2.57,2.42
252,G,P08,S47,119956,1,향도 고급진 향이고 회색 옷이나 흰색 계열 룩에 어울릴 것 같은 향  크기도 손에 딱 들어맞는 사이즈라서 휴대용으로 들고 다니기 편해요,중성적인 꽃향시트러스 느낌도 좀나는데냄새가 좀 강하네요 ㅠㅠ,잔향이 정말 내 살냄새처럼 남아요엘리자베스아덴이나 클린처럼 저어엉말은은한 향수를 좋아하는 저에게는잔향의 머스크향도 조금 무겁게 느껴졌지만프라도어 향수중엔 3번향수가 제일 좋은 것 같아요,이거 제 서타일 시트러스한 향인데 그렇다고 가볍지도 않아요무엇보다 흔하지 않아서 개인적으로 3번이 제일 제 스타일이었어요그냥 시트러스가좋아라고 생각하시는 분 보다는 약간 무거운 느낌 좋아하시는 분이라면 분명 취향일 듯향수랑 바디미스트 그 사이인 느낌 제품인데 지속력도 좋은 편이에요,첫모습은 마치 아틀리에 코롱과 흡사하네요평가단 당첨되어 써봤는데같이 준 샘플도 분사가 아주 잘 되고향이 봄향이 담긴 플로럴인데처음에는 한번만 뿌려도 좀 강하지만점차 은은한 향으로 바뀌는 향수양도 50ml인데 평소 30ml로도 두세달 넘게 쓰거든요이번 봄은 이 향수를 자주 뿌릴것 같네요,,,,,
253,G,P08,S47,141181,0,스크럽,피부가,각질,자극,향이,8.78,8.0,5.38,5.05,5.01
254,G,P08,S47,141181,1,파룸체험단솔 테라피 솔티허니바디 스크럽250ml25000원성분에 민감한 임산부도 쓸수 있어요닭살피부인그로운헤어안쪽으로 자라는 털건성피부ok향에 민감해도 호불호없이 사용찹쌀떡 스크럽 으로 유명한 솔티 바디스크럽은 향과 성분에 따라 5종이 출시됐어요1허니바디벌꿀향2코코바디오렌지향3쑥바디라벤더향4콜바디장미향5라이스바디일랑일랑꽃향용량은 250ml500ml저는 솔티 허니 바디 스크럽을 만났는데요레몬껍질오일과 벌꿀성분이 어우러져은은한 향을 뽐내며피부활력을 케어할 수 있는 스크럽이에요필름지를 떼어내면스파출러가 스크럽제품 안에 숨겨져 있어요건성피부에 닭살이라 저는 사계절 내내 때수건을 달고 살아요ㅎㅎ갈질제거를 해주지않으면 곧바로 하얗게각질이 눈에 띄거든요사용법주12회 바디워시를 사용한후물기가 있는 상태에서 스크럽제를23분정도 마사지 한후 미온수로헹구면 됩니다다른 스크럽제품도 페이스용이나 바디용을쓰더라도 스크럽제품의 큰 단점은물리적으로 각질을 제거해서자극이 된다는 점이에요입자가 크거나 잘 녹지 않아피부가 더 빨개지고 오래 마사지하면상처까지 남는경우도 있어솔직히 스크럽제품은 자주 찾아쓰지 않았어요이번 솔티 허니 바디스크럽제품은이런 저의 닭살건성피부에 걸맞게맞춤형으로 나온 스크럽제품이였어요입자가 작고 오일이 들어가마사지할때 자극이 덜했고매끈하고 부드럽게 손길이 가서편안했답니다그 오일성분이 피부에 촉촉하게 얹어져수분감이 느껴져 각질이 제거된 느낌이였어요은은한 레몬향도 마음에 들었고나머지 4타입도 향과 다른성분골고루체험해보고픈 욕심이 생기는데요온가족이 편하게 사용할수 있는 스크럽제품이랍니다찹쌀떡스크럽?천일염바디테라피?저자극바디스크럽?온가족바디스크럽?올리브영바디스크럽파우더룸이벤트httpsbitly3iKwVHj,은근 알갱이가 커서 피부에 문지르면 아프지 않을까 했는데 몸에 물을 살짝 묻혀준 후 사용하면 아프지도 않고 괜찮았어요사용한 뒤 몸이 너무 건조해지지도 않고 매끈하니 좋았어요 ㅠㅠ,향이 특출나게 좋은 편은 아니라서 심지어 좀 사용하면 향이 익숙해져서 그런지 안나는 느낌ㅠ 스크럽에 향도 중요하신 분들은 다른제품 사용하시는게 좋을 것 같습니다,그래서 자극적이지 않아요,그리고 샤워 후에 각질제거 한 부분을 만져보면 부드럽고 촉촉해요,,,,,
255,G,P08,S47,35994,0,피부가,물에,향이,향도,유노하나,8.06,3.64,2.54,2.45,2.22
256,G,P08,S47,35994,1,색을 조금 예쁜색으로 개선하면 더 자주 쓸수는 있을것같지만 지금 이상태도 넘넘만족 향도 심하지않으면서 가분내기에 딱 조아요,우리 아이들 목욕 필수템 1000g 사서  통목욕할때늘 사용중 아이들 피부 정말 부드러워집니다아토피있는 아이들도 사용해서 많은 효과가 있다고 들었어요,우리아이들은 아토피가 없지만 겨울철 푸석해지는 피부를위해 늘 사용중물에 닿으면 색이 변해서 마법의 가루라고하네요,아이둘다 너무너무 좋아하는 목욕시간을놀이처럼 생각해여노란물해줘 하고말해요따로 물로안행궈도되고향도 너무좋고피부도 보들보들아토피끼있는 울첫째아들도 이것덕분인지많이 나았어요,비싸서그렇지 좋다 향은 파우더리한데 마음이 편한해지는향 근데 생각보다 향이 오래남는다 호불호 있을수도 이제품젤맘에드는게 간지럽지않았고 안행궈도 되는점이 너무 좋았다,,,,,
257,G,P08,S47,2851,0,향도,향이,러쉬,좋아,피부가,6.72,4.42,3.54,3.48,3.07
258,G,P08,S47,2851,1,욕조에 따뜻한 물 틀어놓고 밤 풀어놓으니 오묘하게 펴지면서 은은한 향이 올라오니 그 향만으로도 힐링이 됩니다,꽃 향이 엄청 은은하고 좋아요,믿고 추천하는 배스밤 러쉬치고 향이 자극적이지 않은 편이고 흔하지 않으면서도 누구나 좋아할 느낌  향이 너무 기분 좋아여 ㅠㅠ 은은편안,러쉬에서 사는 몇몇 배쓰밤이 있는데 꼭 이건 사요 냄새 너무 좋고 힐링이에요,장미향도 나는 것같고 은은한 꽃 향이 나서 좋아요,,,,,
259,G,P08,S47,53037,0,거품,향이,오렌지,향도,상큼,4.84,3.81,3.37,3.13,2.31
260,G,P08,S47,53037,1,상큼상큼 버블바ㅏㅏㅏ써니사이드랑 함께쓰면 뭔가 탁 밝아지는 기분에 상큼함에 아묻따 추천,오렌지 오일의 상큼함이 대표되는 소용돌이 버블바입니다손으로 부수어 욕조 밑에 깔아두고 물을 세게 틀면 거품이 엄청 풍성하게 나요,오렌지향 같은 과일향이 진하게 나고 반 개 넣으면 거품도 엄청 많이 생김 가끔 집에서 사치부리고 싶을 때 사서 쓰기 좋음,냄새가 엄청 상큼하고 마시면쓰다ㅎ 근데 몸이 건조해지지 않음,레몬향 같은 그런 상큼한향임버블바인데 버블은 컴포터보다는 덜함이걸로 목욕하고 나면 피로가 회복되는 느낌이당,,,,,
261,G,P08,S47,66417,0,물에,향도,입욕제,좋아,우주,5.14,4.88,3.04,2.76,2.75
262,G,P08,S47,66417,1,귀엽고 향기 좋고 물에 풀리는 느낌이 몽환적이고 예쁘다 러쉬의 대표적 배쓰밤답게 가장 무난하게 추천할 수 있는 제품 기분 좋게 즐길 수 있는 상큼하면서 시원한 느낌의 향도 마음에 든다,향도 너무 좋고 진짜 물에 풀어두면 우주탄생진짜 향이 욕실에 가득해지고 너무 이뻐서 좋고 하고나면 보습감도 느껴져서 좋아요뒷처리 힘들다는 말에 호텔갔을때 사용했어요ㅎ진짜 가끔 집에서 하면 힐링도 되고 피로도 풀릴거 같아요,일단 너무 예뻐요 영롱한 우주도 생각나고 밤하늘도 떠오르고 목욕하는 동안 진짜 행복해요ㅎ 향도 은은한 레몬향이 나는데 호불호 안 갈릴 향 같아요,레몬오일의 상큼함과 우주 배쓰밤 특유의 화려한 색감이 돋보이는 제품입니다풀고 났을 때 우주에 은하수가 떠있는 듯 화려한 색감과 파란색 물에 반짝이가 떠다니는 밤하늘의 아름다움을 엿볼 수 있습니다,거품은 말해뭐해 좋아요,,,,,
263,G,P08,S47,109956,0,거품,바디,순하고,일리윤,향이,3.61,3.3,3.21,2.52,2.1
264,G,P08,S47,109956,1,아무래도 향기가 없다,보니 특별한 바디 워시를 사용 한다던지 샤워가 나를 위한 힐링이라는 느낌은 들지 않지만 그래도 정말 기본 적인 세정력에 굉장히 충실한 제품입니다저는 이걸 쓰고 다른 걸로 옮겨 탔다가 살짝 트러블이 생겨서 다시 일리윤으로 돌아 왔는데요,로션이 정말 잘맞아서 구매해봤는데 순하디 순합니다무향에 가까운 투명한 겔타입이구요,거품도 적당히 잘 만들어져요,저는 바디트러블때매 고생중인데 이 제품이 바디트러블을 완화시켜준다거나 그런 효과는 없어서 갈아탈예정입니다ㅠ,,,,,
265,G,P08,S46,144881,0,향이,좋아,향은,핸드크림,받았는데,7.82,3.45,2.7,2.61,2.0
266,G,P08,S46,144881,1,생일 선물로 받았는데 간편하고 향도 좋아요,깨끗하면서도 깊이감 있는 느낌 완전 취향저격이었어요,퍼퓸 핸드크림 답게 은은한 향이 오래 지속되는 점도 아주 만족스러웠어요VEIN 월계수 잎  은방울꽃  정돈된 가죽 제 최애 향이에요ㅎㅎ 정말 깔끔하고 세련된 향이 나요,완전 강추 지나치게 미끌거리지 않고 잘 흡수되는 동시에 피부 표면에도 부드러운 수분감이 남아서 좋았어요,매일 휴대하게되는 핸드크림 특성 상 유니크한 쉘 쉐입의 디자인과 감각적인 로고가 사용할 때마다 기분 좋아지는 효과를 주더라구요,,,,,
267,G,P08,S46,147866,0,향이,핸드워시,좋아,거품이,손이,9.93,3.25,3.03,2.53,2.45
268,G,P08,S46,147866,1,화장실 향기도 좋아지는거같고 중요한건 가족들이 볼일본 냄새도 가려지는게 장점ㅋㅋㅋㅋ,거품핸드워시 필요없는듯 가족들도 처음엔 향이너무쎄다뭐다 거품형식도 아니네 이러다가 지금은 다같이 쓰던 거품형식핸드워시도 안쓰고 다 시메스 핸드워시씁니닼ㅋㅋㅋㅋㅋㅋㅋㅋ 나만쓸건데 자꾸 쓰네요,씻고나면 향은 은은해집니당ㅎㅎㅎ 첫향에 놀라지마세요한달후기이제 이거없으면 손씻는게 어색할정도로 필수템이되버렸습니다처음엔 너무 어색하고 향도 진하다고 생각해서 평가도 좀 박하게줬었다가 중간에 쓰다보니 좋은거같아서 바꾸고  지금은 이것만 쓰고싶네요라고 또 리뷰를 바꾸고있네요 ㅋㅋㅋ,아이밤이랑 같은 향이에요,폼 형태로 나오는 워시를 좀 더 좋아하는 편이긴 한데양 조절이 살짝 한펌프사용해도 거품이 너무 풍성해서 더 적은양을 사용해도싶을정도로 아까워여 아쉽ㅠㅠ세정력은 기본이고 향이 핸드크림 바른것처럼 잔향이 있어요,,,,,
269,G,P08,S47,111311,0,향이,좋아,바디,지속,냄새,5.32,2.53,2.18,2.07,1.97
270,G,P08,S47,111311,1,냄새가 진짜 제 스타일이에요,양은 적지만 정말 휴대용으로  가져다니기 정말 편해서 좋아요,달콤한 장미향이에요,향은 뭐 너무 좋아요이거 맡아 본 사람들은 다 뺏어가려고 해요향 지속력도 좋고 특히 잔향이 진짜 좋아요그래서 여기저기 막 뿌리는데한가지 단점은 가방 같은 곳에 뿌리면 자국이 남아오옷이랑 머리에만 뿌려주기로,올리브영에서 할인할 때 싸게 사기 좋은 제품선물 받아서 쓰는데 이거 공주향 ㅋㅋㅋㅋ굉장히 러블리한 향이 남근데 지속력은 별로 음 1시간 꼴로 지속적으로 뿌려줘야 함,,,,,
271,G,P08,S47,124144,0,복숭아,향이,좋아,냄새,지속,5.84,5.37,2.52,1.95,1.86
272,G,P08,S47,124144,1,제발 이거랑 비슷한 향수 알려주세요이제 피치포션 없이는 못 살것같아요ㅠㅠㅠㅠ진짜 향이 너무 좋아서 죽는 그 순간까지 내 몸에 박제해버리고 싶은 향이에요,왜 이런 향수 없냐고ㅠㅠㅠㅠ완전 누가 맡아도 아 복숭아구나 싶은 향인데 단순히 그냥 복숭아향이 아니라 완전 한 입 앙 베어물어서 단향 나는 과즙이 주륵 하고 흐르는 복숭아를 베어먹으며 흐드러지게 핀 꽃밭 위에서 굴러다니는듯한 향이에요완전 이거 뿌리고 나면 과즙이 철철 흐르는 인간 복숭아가 된 느낌 ㅠㅠ 지속력이 낮아도 감수하고 쓸만큼 진짜 향 너무 좋습니다,내가 다 산다구 ㅠㅠ 조말론 넥타린 블로썸 앤 허니의 저렴이라는데 왜왜 조말론이야지속력 현관컷일거 같아 ㅠㅠㅠㅠ,달달하고 딱 예상가는 인공적인 아이스티 복숭아향입니다처음 뿌렸을 땐 너무 강한것 같아서 조금만 바르고 외출했는데생각보다 잔여향이 가볍고 자연스러워서 다음부터는 보통 향수 바를 때만큼 충분히 발라주고 있어요생각보다 지속력이 괜찮지만 정말 말 그대로 생각보다입니다,지속력도 바디미스트 치고 길어서 좋아요,,,,,
273,G,P08,S47,26208,0,향이,냄새,좋아,지속력,향수,9.86,4.1,3.01,2.5,2.38
274,G,P08,S47,26208,1,근데 첫 향이 살짝 쎈 느낌이 없잖아 있어서 처음엔 조금만 뿌려주셔야 할거 같아욤 전 사고 만족도 100이였어요,바디 미스트는 지속력 약한 제품들도 많아서 별 기대 없이 샀었는데 더프트앤도프트 바디 미스트 제품은 향 지속력도 오래가고 무엇보다 잔향이 너무너무 조아요   ?,어떤 느낌이냐묜 은은한 모란향  상큼한 복숭아 향으로 완전 사랑스러운 느낌이에요 ?,옷에 뿌려두면 잔향도 은은하게 오래가서 짱이에요,냄새 이거 너무좋아요,,,,,
275,G,P08,S47,145723,0,거품이,향이,샤워,향도,라벤더,8.1,5.79,4.2,3.56,2.41
276,G,P08,S47,145723,1,향 좋고 거품이 촘촘하니 좋습니다다만 예민 아토피가 부분적으로 있는 사람은 많이 편하게 사용은 안됩니다,향도 나쁘지 않고 제형이 거품으로 나와서 좋아요근데 여러번짜야되서 불편하긴해요ㅠㅠ 금방줄어드는거같아서 아쉽,글로우픽보고 산건데향은 그냥저냥 강하지않은 라벤더느낌제품은 순하고 무난한편,버블형 클랜징폼만 써오고 있는데 바디워시도 이런 거 너무 좋드라구요,자극없이 순한 제품이라 데일리로 사용하기 좋아요,,,,,
277,G,P08,S47,4608,0,향이,거품,좋아,향도,바디,7.82,5.04,4.47,4.01,2.26
278,G,P08,S47,4608,1,지금은 단종되고 토탈리커버리 크리미 바디워시라는 이름으로 리뉴얼됨진짜향 너무 좋다애플블라썸 향이라는데 바디로션 샘플 썼을때도 주접 많이 떨었지만 맡으면 맡을수록 행복해지는 향임상큼하면서도 달달하고 포근해서 아예 내 몸에 박제해버리고 인간 토탈리커버리가 되고 싶어지는그런 향향 지속력은 1시간 남짓이긴 한데 그래도 좋아비욘드 공홈에서 바디워시 리필도 팔던데 플라스틱을 줄인다는 핑계로 리필 몇 팩씩 사다가 쟁여두고 싶어짐근데 향 말고도 바디워시로서의 기능도 괜찮음거품 잘 나고 잘 씻기고 미끌거림없이 깔끔하다샤워크림이라고 해서 보습감이 높을 줄 알았는데 딱히 그런건아님 그냥 다른 마트명절선물세트 바디워시들이랑 비슷함 등드름 잘 나는 피부라 오히려 좋았음하여튼올리브영 가셔서 비욘드 토탈 리커버리 핸드크림 있으면 꼭 테스트해주세요,향이 정말 사기에요,향이 좋으니까  ㅜ비슷한 향수있음,향도 좋고 엄청 만족스러워요,화이트머스크 향 별로 안좋아하는데 그런 느낌이면서 촌스럽고 부담스럽지않은 고급스러운 향 고급러운 향은 몰튼브라운밖에 없다생각했었는데 이 가격에 이 향이라니 정말 사랑입니다,,,,,
279,G,P08,S47,89745,0,향이,좋아,러쉬,바디워시,거품,5.87,3.26,2.74,2.45,2.27
280,G,P08,S47,89745,1,팬지랑 같은 향이에요,달달상큼한데 잔향은 포근근데 아무래도 샤워젤이다보니 좀더 은은한팬지향을 원래 좋아해서 만족합니다씻어도 약간 미끌 촉촉한 바디워시에요아쉬운건 씻고나서 향이 잘 안남음ㅠ코박고 맡아야 은은하게 나는 자기전에 샤워하고 담날 아침되면 향 아예 없어져요그래도 샤워하고나서 화장실 향이 향긋해서 좋아요프레쉬세일때 꼭 쟁여둡니더,직원분이 민감성 피부인 사람들이 많이 쓰는 제품이라고 추천을 해 주셔서 구입했어요,향은 러쉬답게 진한편인데 개인적으로는 처음엔 크게 좋다,그냥 러쉬다운 향이구나 싶었거든요,,,,,
281,G,P08,S47,90266,0,스크럽,향이,자극,피부가,향도,4.77,3.45,2.71,2.39,2.27
282,G,P08,S47,90266,1,자극적일거같은데 하고나먄 엄청 부드러워지고 자극적이지도 않아요,향기가 너무 좋아요,스크럽인데 피부에 자극이 없어서 좋아요,친구집에서 사용했었는데 향기가 좋아서 물어보고 저도 사서 아직까지 잘 사용하고 있어요,샤워 많이 하는 여름에 쓰기 좋음개인적으로 향이 좋은건 모르겟구 그냥 무난무난 스크럽제품임,,,,,
283,G,P09,S17,119303,0,끈적,자외선,얼굴에,슥슥,부드럽게,3.77,2.54,1.9,1.63,1.6
284,G,P09,S17,119303,1,솔직히 잘 안타는지는 잘 모르겠는데 여름에 목이랑 팔에 바르기 좋아서 잘 쓰고 있어요,선스틱 이상한거 사면 온도에 못이겨서 짓이겨지고 막 옷에 묻고 그런데 이건 그런거 하나 없이 깔끔하게 발려서 좋아요,가격은 좀 비싸지만 좋은 선스틱이에요개인적으로 ahc선스틱 중에서는 빨간색이 젤 좋았어요끈적임 없고안밀리고 좋아요쿠팡에서 사면 드럭스토어보다는 싸게 구입가능했어욭썬제품 잘못사면 피부 뒤집어지는데 트러블 없었구요선스틱 입문용으로 아주 좋아요여름엔 하나 써야하니까욤,부드럽게 잘 발리고 끈적거림이 없어요향도 좋고 성분도 괜찮아서 잘 사용하고 있습니당발랐는지 안발랐는지 헷갈리긴 하지만 뽀송뽀송해요ㅎㅎ,순한고겉고 너무 기룸가고나 뻑뻑하지 않아요,,,,,
285,G,P09,S17,105134,0,얼굴에,끈적,몸에,차단,발림성,2.16,2.13,1.76,1.7,1.58
286,G,P09,S17,105134,1,이름에 프레쉬 들어가서 아 보송한 선스틱인가 하고 샀는데 보송하지 않아요,대신 슥 미끄러지듯이 발려서 발림성은 정말 좋습니다,간편합니다,이거 바르고 스키장 다녀왔습니다안바른분만 벌겋게 타고 저만 살아남았습니다자외선 차단력 엄청 좋고 워터프루프도 강하게 잘됩니다다소 기름지긴하지만 강력하게 막아줍니다,내추럴 퍼펙션 프레쉬 선스틱 여름에 사용하기 편리합니다,,,,,
287,G,P09,S21,119305,0,커서,있어서,쿨링감이,크기가,퍼프,8.12,2.52,2.21,1.97,1.86
288,G,P09,S21,119305,1,손에 묻지않아서 좋은데너무 커서 좀ㅠㅠ바르기가 힘듦그리고 바르면 기름기있는것같음,쿠션이 커서 가볍게 썬크림 바를수 있어서 너무 좋야요 밖에서도 쉽게 수정가능피부가 촉촉해지고 답답하지 않아요,대신 양이 얼마나 발리는지 감이 잘 안 와요얇게 발리는 느낌이라 여러번 바르다 보니깐 금방 쓰는거같긴해요,평소에 피부가 예민해서 비비파데 이런거 절때 못바름그래서 이니스프리 썬크림 딱 하나 바르고 다니는데다 알다싶이 이니스프리썬크림이 좀 매트하자늠쉽게 건조해지고코옆에도 잘 안먹고 짜증나게 근데 이걸 쓰니까 진심 개촉촉 그자체 촉촉거리는게 물광피부 표현하는 사람들에게 좋은 정도 인듯 나는 근데 물광피부 별로 안좋아해서위에 노세범 한번 뚜드려줌진짜 생각보다 크고 괜찮앗음 굿아 다만 아쉬운점은 너무 커서 휴대하기 불편함작은 가방들고다니는데 거기엔 안들어감ㅜ,마카오 여행가서 열심히 사용했어요날씨가 더워서 화장은 포기하고 선쿠션만 발랐네요1 쿨링감이 있어서 얼굴에 열 날때마다 수시로 발라주면 열이 가라앉아서 좋았고쿨링감에 수분감도 더해져서 피부가 촉촉해져요덧발라도 뭉침없어서 매끈한 피부가 유지되요사용후 피부는 보송과 촉촉함의 중간정도로 피부표현이 되요습하고 더운 날씨임에도 유분으로인해 무너짐은 적었어요2 백탁현상이 없어서 피부보정효과는 미미하지만 계속 덧바르다보니 피부가 뽀애졌어요얼굴과 바디 모두 톡톡 두드리며 사용하기 좋아요3 쿠션이 크다보니 몇번만 두드리면 되서 금방 바를수 있어요바쁜 아침에 좋겠어요그만큼 거울도 커서 따로 거울이 필요없어요4 자외선차단지수가 높아서 5일동안 하루종일 밖에 돌아다녀도 피부가 타지 않고 민감성피부인데 트러블도 없었네요,,,,,
289,G,P09,S22,22784,0,백탁,트러블,톤업,발림,있어요,3.67,2.99,2.8,2.8,2.51
290,G,P09,S22,22784,1,너무 건조하고 발림성 별로라 쓱쓱 바르기 힘들어서 톡톡 듀드려서 흡수시키면 시간 많이걸림 건조하니까 뒤에 파데나 비비도 건조하게 발림 파워지성이나 여름에나 써야할듯,자연스러운 발림성과 톤업이 되고민감한 피부건조한 피부에 부담이 없는 저자극 제품으로 매일 사용해도 안심이에요피부에 밀착되어 메이크업 밀림도 없고 덧발라도들뜨지 않아 사용하기 좋아요,저도 이 점때문에 스트레스 받았는데 스킨용 브러쉬 사서 선크림과 베이스 펴바르니 확실히 고르게 발리고 각질도 안밀리더라구요,코와 볼 이마엔 기름이 많이 나오고부분적으로만 건조한 수부지 피부 기준 리뷰입니다자극에 예민하지 않은 편이고 트러블은 가끔 한두개 나는 피부에요지성 피부라 유분기가 적은 선크림을 찾고 있었고부드럽게 발리는걸 원했는데그 전에 쓰던 듀이트리 선트림보다셀퓨전씨가 부드럽게 발리면서도 적당히 보송해서 제 맘엔 딱 들었어요꿀팁지성 피부가 좋아하는 보송하게 발리는 선크림의 단점은 뭉치거나 각질이 뜨기 쉽다는 점이죠 ㅠㅠㅠㅠ,진짜 부드럽게 잘발리고 눈시림 없고 백탁도 없어서 잘쓰고 있어요,,,,,
291,G,P09,S22,117614,0,자외선,백탁현상,촉촉,있어서,많아,3.32,2.24,2.19,1.93,1.84
292,G,P09,S22,117614,1,공병리뷰묽은 제형이라 자극없이 피부에 아주 부드럽게 발리는데 끈적임 없이 촉촉하게 마무리돼요색상은 흰색이지만 백탁현상 없고 톤업 기능 또한 없어요때처럼 밀리거나 뭉치지 않아서 베이스메이크업 시작 전에 바르기 괜찮았고 중성적인 느낌의 상쾌한 향이 개인적으로 맘에 들었어요눈시림이 없고 땀과 물에 강해서 운동할 때 야외활동 많은 날 바르기 좋지만 유분기가 많은 편이라 건성악건성 피부에 가장 잘 맞을것 같아요유분기가 많아서 저는 여름에 도저히 쓸 수 없었고 겨울에 사용했는데 겨울에도 많이 바를 수 없었어요,향은 무향인게 더 나았을뻔,용량100ml 생각하면 가성비가 나쁘지않은편유의점 혼합자차 약간의 매트한 마무리 향이 짙은편성분표 보고 어 유기자차인가 했는데 무기자차 성분징크옥사이드이 뒤에 있긴있더라구요,장점 거의 백탁이 없음아주 희미하게 톤업만 되는정도 부드러운 발림성 밀착이 잘 됨 높은 자외선 차단지수 메이크업할때 밀림이 없음,마무리감이 촉촉하다기보단 피부에 쫩 밀착되며 약간의 보송한 느낌이 있어서 건성피부분들께는 건조할수있어요,,,,,
293,G,P08,S46,2088,0,록시땅,바르고,촉촉,향도,발에,2.65,2.37,2.15,1.98,1.57
294,G,P08,S46,2088,1,보습력도 보통 효과는 미미그냥 기분내는 정도로 바르는 수준,꾸덕꾸덕하지 않고 흡수가 빨라서 발에 바르기에 최적화 돼있어요,발바닥 각질땜에 항상 풋 크림을 사용한다 이 제품은 향기 발림성 촉촉함 다 맘에 든다 하지만 요즘 나오는 저렴이 풋 제품도 이 제품과 맞먹는 기능과 제품력을 가지고 있다,촉촉하고 각질제거하고발라주면애기발같음ㅎㅎ발만 애기발ㅎㅎ,핸드크림인줄 알고 모르고 발라서 알게 되었는데 외출 전이나 사무실에서 각질 부위에 톡톡 바르기 좋은 것 같아요,,,,,
